ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.9824561403508771,0.9953703703703703,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9623015873015873
Decision Tree,0.9035087719298246,0.9373346560846562,0.9420289855072463,0.9027777777777778,0.9219858156028369,0.796936951050134
kNN,0.9736842105263158,0.994378306878307,0.96,1.0,0.9795918367346939,0.9441549509633318
Naive Bayes,0.9385964912280702,0.9877645502645502,0.9452054794520548,0.9583333333333334,0.9517241379310345,0.8675534786006366
Random Forest,0.956140350877193,0.9943783068783069,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9054466190452621
